Name,SSN,Bar,License
"Lucy King",480-30-01,"DULCINEA BAR & GRILL",155187-4140
"Lucy Lindsey",793-50-09,"PASSION FISH",994587-9188
"Lucy Lindsey",793-50-09,Candelaria,645845-0472
"Lucy Lindsey",793-50-09,"Le Tr?s Particulier",432512-8710
"Lucy Lindsey",793-50-09,"CHEESESTEAK MIKE'S",214195-2529
"Lucy Sullivan",654-77-02,"METRO CLUB",289884-2378
"Lucy Walter",137-52-01,"THE YO YO CAFE",347113-2062
"Lucy Walter",137-52-01,"En Vrac",065245-1634
"Luke Burks",511-63-03,Moonshiner,807305-7500
"Luke Burks",511-63-03,Neko,097147-8367
"Luke Burks",511-63-03,Artesian,023683-4925
"Luke Burks",511-63-03,"Brass Monkey",704506-9023
"Luke Jennings",872-62-02,"BOCA BOTANA'S",633641-0946
"Luke Jennings",872-62-02,"THAI TASTE",393201-0154
"Luke Jones",003-40-03,"Seven Bamboo",759258-8235
"Luke Jones",003-40-03,"Le Syndicat",555889-1650
"Luke Jones",003-40-03,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Luke Jones",003-40-03,"Bar Neon Monkey",829829-6701
"Luke Jones",003-40-03,"HOP N GRAPE",197460-5337
"Luke Jones",003-40-03,"The DrumLeyton",855299-2110
"Luke Love",600-26-07,"FOREST GLEN PUB",724454-6920
"Luke Love",600-26-07,"LOS CHORROS RESTAURANT",637478-3600
"Luke Love",600-26-07,"SANTO POLLO ",348034-4278
"Luke Rasmussen",482-66-05,"PIZZERIA DAMARCO",443927-4046
"Luke Rasmussen",482-66-05,"BANGKOK GARDEN RESTAURANT",577007-7120
"Lunea Woodward",441-06-09,"KWIK BAR & GRILL",343655-3428
"Lunea Woodward",441-06-09,"John Bull Pub",936645-6904
"Lunea Woodward",441-06-09,"Humble Grape - Battersea",289362-8384
"Lunea Woodward",441-06-09,"The Italian Job",664654-3022
"Lydia Best",195-83-01,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Lydia Best",195-83-01,"CHAPALA RESTAURANT",659157-0376
"Lydia Grant",210-36-02,"John Donne Pub",575493-8545
"Lydia Grant",210-36-02,"GOURMET PUB",238323-5054
"Lydia Grant",210-36-02,"IL PORTO",657698-5615
"Lydia Heath",657-48-09,"Mandy's Apothecary Irish Pub",036932-8331
"Lydia Heath",657-48-09,Cabana,012286-7948
"Lydia Reeves",550-60-06,"The B-Hive",159927-7181
"Lydia Reeves",550-60-06,"L’avant comptoir du marché",508969-5034
"Lydia Reeves",550-60-06,"Les Trois 8",066016-1696
"Lydia Rojas",160-29-08,"Britannia Arms",033266-5462
"Lydia Rojas",160-29-08,SAFEWAY,076279-9393
"Lydia Rojas",160-29-08,"MIX BAR & GRILL",167553-1543
"Lydia Saunders",624-39-06,Respublika,457966-5128
"Lydia Saunders",624-39-06,"Tavern U Okolitsy",302168-0412
"Lydia Soto",137-54-04,"Belowzero Ice Bar",679007-3636
"Lydia Soto",137-54-04,"RED BOWL",707445-3676
"Lydia Soto",137-54-04,"The Coral Room",336670-1716
"Lyle Jefferson",362-49-06,"Britannia Arms",033266-5462
"Lyle Jefferson",362-49-06,SAFEWAY,076279-9393
"Lyle Jefferson",362-49-06,Anderdog,426308-0014
"Lyle Mclean",745-02-05,"TARA THAI RESTAURANT",033029-0636
"Lyle Mclean",745-02-05,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Lyle Mendez",894-29-06,"La Fine Mousse",234798-4284
"Lyle Mendez",894-29-06,"Connolly Station",638134-8991
"Lyle Mendez",894-29-06,"Ulysses Pub",603310-5963
"Lyle Mendez",894-29-06,"Kings Stores",905752-1115
"Lyle Schmidt",433-73-09,"ASPEN HILL BAR & GRILL",122581-2526
"Lyle Schmidt",433-73-09,"Bar Italiya",278532-0199
"Lyle Winters",663-12-02,"SENOR TEQUILA'S",744864-1998
"Lyle Winters",663-12-02,"PETERS CARRY OUT",825935-7435
"Lyle Winters",663-12-02,"THE QUARRY HOUSE TAVERN",906351-1597
"Lynn Duffy",023-56-01,"COUNTRY BOY CLUB",565494-6333
"Lynn Duffy",023-56-01,"NEWS EXPRESS",615857-5438
"Lynn Duffy",023-56-01,"The Bloomsbury Club Bar",032912-1156
"Lynn Fox",695-25-07,"RED BOWL",707445-3676
"Lynn Fox",695-25-07,"The Coral Room",336670-1716
"Lynn Fox",695-25-07,"The Chandos Arms",072616-5319
"Lynn Johnson",650-93-06,"Mandy's Apothecary Irish Pub",036932-8331
"Lynn Johnson",650-93-06,Cabana,012286-7948
"Lynn Johnson",650-93-06,"HUNAN NIGHT",619242-8172
"Lynn Watts",816-44-07,"THE GREENE TURTLE-Az",272426-2650
"Lynn Watts",816-44-07,"CANA BEER & WINE",192695-6895
"Lysandra Dudley",497-95-04,"BARKING MAD CAFE",173337-7970
"Lysandra Dudley",497-95-04,"La Commune",273086-1339
"Lysandra Garrison",559-79-05,"L'Avant Comptoir de la Mer",972787-2484
"Lysandra Garrison",559-79-05,"DOCK OF THE BAY",835167-6583
"Lysandra Garrison",559-79-05,"LA MADELEINE",027174-2033
"Lysandra Norman",136-57-02,EGGSPECTATION,459940-2189
"Lysandra Norman",136-57-02,"Genatzvale Hall",825794-2857
"Lysandra Norman",136-57-02,SILVER,716079-8588
"Lysandra Spence",467-11-09,"AY! JALISCO II",622517-0445
"Lysandra Spence",467-11-09,"AY! JALISCO",139198-2533
"Lysandra Walters",308-79-06,Moonshiner,807305-7500
"Lysandra Walters",308-79-06,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Lysandra Walters",308-79-06,"SOUTHLAWN RESTAURANT",558375-0236
"Lysandra Walters",308-79-06,Artesian,023683-4925
"Lysandra Walters",308-79-06,"Brass Monkey",704506-9023
"Macaulay Benson",113-57-02,Combat,163829-1896
"Macaulay Benson",113-57-02,"LOS COBANOS RESTAURANT",312938-5286
"Macaulay Craft",635-23-08,Combat,163829-1896
"Macaulay Craft",635-23-08,"La Fine Mousse",234798-4284
"Macaulay Craft",635-23-08,"Connolly Station",638134-8991
"Macaulay Craft",635-23-08,"Ulysses Pub",603310-5963
"Macaulay Craft",635-23-08,"Kings Stores",905752-1115
"Macaulay Hurst",718-76-05,"SPRING BEER HOUSE",556027-9498
"Macaulay Hurst",718-76-05,"KINGSVIEW CLUB",047272-1463
"Macaulay Hurst",718-76-05,BALDUCCI'S,189932-3255
"Macaulay Hurst",718-76-05,"Giza Hookah Lounge",309407-2687
"Macaulay Ross",464-70-00,"John Donne Pub",575493-8545
"Macaulay Ross",464-70-00,"GOURMET PUB",238323-5054
"Macaulay Ross",464-70-00,"IL PORTO",657698-5615
"Macey Leach",832-53-01,"HOWARD BAR & GRILL",564383-9375
"Macey Leach",832-53-01,"SANTO POLLO ",348034-4278
"Macey Mann",443-35-07,SASUNS,239755-5612
"Macey Mcmillan",769-23-05,"COUNTRY BOY CLUB",565494-6333
"Macey Mcmillan",769-23-05,"Bar Hemingway",573547-0154
"Macey Mcmillan",769-23-05,"OLNEY ALE HOUSE",103007-8750
"Macey Mcmillan",769-23-05,"The Bloomsbury Club Bar",032912-1156
"Macey Michael",487-63-08,"A.P. Stump's",MA12347
"Macey Michael",487-63-08,"SIU'S ASIAN BISTRO",647562-0404
"Macey Michael",487-63-08,"ATTMAN'S BAR & GRILL",548813-2340
"Macey Nielsen",363-03-07,"The Blank Club",307264-2642
"MacKensie Lindsay",354-28-00,SHANGRI'LA,392381-3350
"MacKensie Peters",423-40-09,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"MacKensie Peters",423-40-09,Eulipia,836692-8532
"MacKensie Rush",073-06-03,"BANGKOK GARDEN RESTAURANT",577007-7120
"MacKensie Weiss",191-02-05,"RED BOWL",707445-3676
"MacKensie Weiss",191-02-05,"The Coral Room",336670-1716
"MacKensie Weiss",191-02-05,"WATERSHED CAFE",668344-5222
"MacKenzie Cook",581-10-07,"ADDISU GEBEYA",659375-5835
"MacKenzie Cook",581-10-07,"Belgian Pub BeerHouse",416665-7371
"Macon Brown",436-73-06,"PIZZERIA DAMARCO",443927-4046
"Macon Crane",507-60-02,BECLAWS,269500-5799
"Macon Crane",507-60-02,"TARA THAI RESTAURANT",033029-0636
"Macon Dominguez",619-15-02,"Genatzvale Hall",825794-2857
"Macon Dominguez",619-15-02,SILVER,716079-8588
"Macon Mckenzie",603-97-05,"Pivbar Kolomenskoye",365700-4523
"Macon Mckenzie",603-97-05,Cabana,012286-7948
"Macon Mckenzie",603-97-05,"NEW VILLAGE RESTAURANT",034706-7472
"Macon Mckenzie",603-97-05,"HUNAN NIGHT",619242-8172
"Macy Burch",684-97-05,"Chez Ammad",195979-2548
"Macy Burch",684-97-05,"ARIA BAR & GRILL",705071-9785
"Macy Fowler",526-13-00,"HOWARD BAR & GRILL",564383-9375
"Macy Langley",343-35-00,Respublika,457966-5128
"Macy Langley",343-35-00,"TAIPEI CAFE",083408-0624
"Macy Skinner",765-64-01,"GOURMET PUB",238323-5054
"Macy Skinner",765-64-01,"IL PORTO",657698-5615
"Madaline Barton",105-53-08,"PASSION FISH",994587-9188
"Madaline Barton",105-53-08,Candelaria,645845-0472
"Madaline Barton",105-53-08,"CHEESESTEAK MIKE'S",214195-2529
"Madaline Bell",405-69-08,"YEKTA KABOBI",018125-2537
"Madaline Bell",405-69-08,"EL PATIO",266006-4748
"Madaline Bell",405-69-08,"TOKYO SUSHI",963932-2784
"Madaline Bell",405-69-08,"TEX'S PLACE",137395-0748
"Madaline Fox",712-54-07,"GOLF ULTRA LOUNGE",008054-3713
"Madaline Fox",712-54-07,"TARA THAI",514464-4324
"Madaline Fox",712-54-07,"OLAZZO RESTAURANT",544976-6244
"Madaline Fox",712-54-07,"BETHESDA CRAB HOUSE",789601-4995
"Madeline Beach",796-73-06,"RED BOWL",707445-3676
"Madeline Beach",796-73-06,"WATERSHED CAFE",668344-5222
"Madeline Gomez",639-13-06,"The Lounge",557061-3801
"Madeline Gomez",639-13-06,"YEKTA KABOBI",018125-2537
"Madeline Gomez",639-13-06,"BENIHANA OF TOKYO",746233-3159
"Madeline Gomez",639-13-06,"AMALFI RISTORANTE",128083-8887
"Madeline Green",195-84-01,"CHICKEN BASKET",392762-0769
"Madeson Andrews",406-27-03,"PASSION FISH",994587-9188
"Madeson Andrews",406-27-03,"CHEESESTEAK MIKE'S",214195-2529
"Madeson Mcclure",274-46-07,"SENOR TEQUILA'S",744864-1998
"Madeson Mcclure",274-46-07,"Chez Ammad",195979-2548
"Madeson Mcclure",274-46-07,CUBANO'S,284560-8641
"Madeson Mcclure",274-46-07,"THE QUARRY HOUSE TAVERN",906351-1597
"Madeson Mcmillan",475-36-07,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Madeson Pruitt",474-50-06,Moonshiner,807305-7500
"Madeson Pruitt",474-50-06,"SOUTHLAWN RESTAURANT",558375-0236
"Madeson Pruitt",474-50-06,Artesian,023683-4925
"Madeson Pruitt",474-50-06,"BACCHUS OF LEBANON",397549-9173
"Madeson Pruitt",474-50-06,"Brass Monkey",704506-9023
"Madeson Scott",303-23-00,"JO'S BEER-WINE",422040-9934
"Madeson Scott",303-23-00,"The Camel Pub",987575-5317
"Madeson Scott",303-23-00,"The Duke Of Argyll",452548-3394
"Madeson Scott",303-23-00,CARAVAN,034340-6674
"Madeson Scott",303-23-00,"CAVA RESTAURANT",727659-2461
"Madison Bell",138-53-07,"SIU'S ASIAN BISTRO",647562-0404
"Madison Gibson",602-62-07,"A.P. Stump's",MA12347
"Madison Gibson",602-62-07,"ATTMAN'S BAR & GRILL",548813-2340
"Madison Hahn",411-02-07,Moonshiner,807305-7500
"Madison Hahn",411-02-07,"Aux Folies",178856-0090
"Madison Hahn",411-02-07,Neko,097147-8367
"Madison Hahn",411-02-07,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Madison Hahn",411-02-07,"SOUTHLAWN RESTAURANT",558375-0236
"Madison Hahn",411-02-07,"BACCHUS OF LEBANON",397549-9173
"Madison Langley",251-63-09,"Blue Tattoo",768883-3750
"Madison Langley",251-63-09,"SALA THAI ",339365-4516
"Madison Langley",251-63-09,"CRISTINA'S ITALIAN RISTORANTE",944800-8871
"Madison Mcbride",230-42-09,"MOBY DICK SEAFOOD",953947-6565
"Madison Mcbride",230-42-09,"RUANG KHAO THAI CUISINE",473565-3935
"Madonna Daugherty",408-07-07,"EL PAISANO",269448-6792
"Madonna Daugherty",408-07-07,"WHEATON WINERY",426942-2970
"Madonna Daugherty",408-07-07,"POSITANO RISTORANTE ITALIANO",784026-4704
"Madonna Lawson",260-62-01,"WORLD OF BEER",749156-9476
"Madonna Lawson",260-62-01,"John Bull Pub",936645-6904
"Madonna Lloyd",761-90-07,"FOREST GLEN PUB",724454-6920
"Madonna Lloyd",761-90-07,"HOWARD BAR & GRILL",564383-9375
"Madonna Lloyd",761-90-07,"SANTO POLLO ",348034-4278
"Madonna Porter",893-28-07,"La Fontaine de Belleville",035952-6936
"Madonna Porter",893-28-07,CANOPY,993738-4536
"Magee Glass",421-86-06,"The Coral Room",336670-1716
"Magee Hoover",230-38-03,"NORMANDIE FARM RESTAURANT",604511-6289
"Magee Hoover",230-38-03,"TAIPEI TOKYO",147454-4051
"Maggie Clemons",065-48-02,"La Fontaine de Belleville",035952-6936
"Maggie Washington",366-41-03,SAMOVAR,569005-3193
"Maggie Washington",366-41-03,"Septime La Cave",207005-7456
"Maggie Washington",366-41-03,"Purple Bar at Sanderson",016922-4284
"Maggy Andrews",738-08-09,"LOCK 72 KITCHEN & BAR",797572-9430
"Maggy Andrews",738-08-09,"ALL SET",604478-1638
"Maggy Andrews",738-08-09,"Lord John Russell Pub",804154-3375
"Maggy Andrews",738-08-09,"OLD TOWN POUR HOUSE",722716-4519
"Maggy Clements",461-15-07,"PIZZERIA DAMARCO",443927-4046
"Maggy Clements",461-15-07,M&BZ,474140-4315
"Maggy Pollard",768-28-07,"Daly's Wine Bar",686766-4572
"Maia Ferrell",513-06-02,"BARKING MAD CAFE",173337-7970
"Maia Jones",776-86-01,"ADDISU GEBEYA",659375-5835
"Maia Jones",776-86-01,"Belgian Pub BeerHouse",416665-7371
"Maia Jones",776-86-01,"St. George's Tavern",922270-1568
"Maia Mckee",519-76-09,"Guns & Bears Pub",066604-4524
"Maia Mckee",519-76-09,"EL PATIO",266006-4748
"Maia Mckee",519-76-09,"TOKYO SUSHI",963932-2784
"Maia Mckee",519-76-09,"TEX'S PLACE",137395-0748
"Maia Mckee",519-76-09,"BENIHANA OF TOKYO",746233-3159
"Maia Mckee",519-76-09,"AMALFI RISTORANTE",128083-8887
"Maia Pena",846-68-06,"PASSION FISH",994587-9188
"Maia Pena",846-68-06,Candelaria,645845-0472
"Maile Fischer",519-91-04,Budvar,826130-4276
"Maile Fischer",519-91-04,"The Rivoli Bar",726147-6027
"Maile Fischer",519-91-04,"St. James Tavern",454665-2704
"Maile Guerrero",794-40-04,"LOCK 72 KITCHEN & BAR",797572-9430
"Maile Guerrero",794-40-04,"Lord John Russell Pub",804154-3375
"Maile Guerrero",794-40-04,"OLD TOWN POUR HOUSE",722716-4519
"Maile Guerrero",794-40-04,"PETER CHANG'S CHINA BISTRO",578989-6023
"Maile Watkins",865-06-05,"Britannia Arms",033266-5462
"Maile Watkins",865-06-05,SAFEWAY,076279-9393
"Maile Watkins",865-06-05,"PETER'S GRILL",567033-1627
"Maile Watkins",865-06-05,"MIX BAR & GRILL",167553-1543
"Maisie Hooper",554-26-02,"KWIK BAR & GRILL",343655-3428
"Maisie Hooper",554-26-02,"WORLD OF BEER",749156-9476
"Maisie Hooper",554-26-02,"John Bull Pub",936645-6904
"Maisie Hooper",554-26-02,"Humble Grape - Battersea",289362-8384
"Maite Barrett",262-04-05,"Seven Bamboo",759258-8235
"Maite Barrett",262-04-05,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Maite Barrett",262-04-05,"Bar Neon Monkey",829829-6701
"Maite Barrett",262-04-05,"HOP N GRAPE",197460-5337
"Maite Barrett",262-04-05,"MIDDLE EAST CUISINE",682135-2579
"Maite Davidson",201-55-07,"ADDISU GEBEYA",659375-5835
"Maite Davidson",201-55-07,"St. George's Tavern",922270-1568
"Maite Davidson",201-55-07,"THAI AT SILVER SPRING",887258-6824
"Maite Goodman",581-49-06,"Bar Hemingway",573547-0154
"Maite Goodman",581-49-06,"NEWS EXPRESS",615857-5438
"Maite Goodman",581-49-06,"OLNEY ALE HOUSE",103007-8750
"Maite Peters",741-28-06,"ALL SET",604478-1638
"Maite Peters",741-28-06,"Lord John Russell Pub",804154-3375
"Maite Smith",299-77-09,"JO'S BEER-WINE",422040-9934
"Maite Smith",299-77-09,"The Duke Of Argyll",452548-3394
"Maite Smith",299-77-09,CARAVAN,034340-6674
"Maite Wagner",226-95-02,"GRAPE AND GRAIN BOUTIQUE",557483-4338
"Maite Wagner",226-95-02,"RUSSIAN GOURMET",635427-3838
"Maite Wagner",226-95-02,"LA FERME",978070-9847
"Maite Wagner",226-95-02,"CHICKEN BASKET",392762-0769
"Malachi Becker",269-64-01,SAFEWAY,076279-9393
"Malachi Becker",269-64-01,Anderdog,426308-0014
"Malachi Becker",269-64-01,"MIX BAR & GRILL",167553-1543
"Malachi Fisher",827-63-03,"The Italian Job",664654-3022
"Malachi Kennedy",631-18-05,"Pivbar Kolomenskoye",365700-4523
"Malachi Kennedy",631-18-05,"Mandy's Apothecary Irish Pub",036932-8331
"Malachi Kennedy",631-18-05,"HUNAN NIGHT",619242-8172
"Malachi Riley",649-67-09,Budvar,826130-4276
"Malachi Riley",649-67-09,"The Rivoli Bar",726147-6027
"Malachi Riley",649-67-09,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Malachi Riley",649-67-09,"St. James Tavern",454665-2704
"Malachi Walters",042-64-07,Budvar,826130-4276
"Malachi Walters",042-64-07,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Malachi Walters",042-64-07,"Coconut Willie's Cocktail Loun",103228-2632
"Malcolm Avery",551-02-00,"Pivbar Kolomenskoye",365700-4523
"Malcolm Avery",551-02-00,"Mandy's Apothecary Irish Pub",036932-8331
"Malcolm Avery",551-02-00,"HUNAN NIGHT",619242-8172
"Malcolm Holt",203-12-01,VACE,798423-6294
"Malcolm Holt",203-12-01,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Malcolm Holt",203-12-01,"CHAPALA RESTAURANT",659157-0376
"Malcolm Holt",203-12-01,"LONGHORN STEAKHOUSE",039890-9002
"Malcolm Kent",730-94-06,"BARKING MAD CAFE",173337-7970
"Malcolm Kent",730-94-06,CANOPY,993738-4536
"Malcolm Rodriguez",542-66-06,"PINEY BRANCH PUB",574707-0877
"Malcolm Rodriguez",542-66-06,BECLAWS,269500-5799
"Malcolm Rodriguez",542-66-06,"EVA LOUNGE",243206-3382
"Malcolm Rodriguez",542-66-06,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Malcolm Weiss",604-81-03,"Guns & Bears Pub",066604-4524
"Malcolm Weiss",604-81-03,"TEX'S PLACE",137395-0748
"Malcolm Weiss",604-81-03,"AMALFI RISTORANTE",128083-8887
"Malcolm Wilder",688-39-07,"CHICKEN BASKET",392762-0769
"Malcolm Wilder",688-39-07,"PINES OF ROME",012827-6557
"Malik James",868-60-02,Combat,163829-1896
"Malik James",868-60-02,"La Fine Mousse",234798-4284
"Malik James",868-60-02,"Ulysses Pub",603310-5963
"Malik James",868-60-02,"Kings Stores",905752-1115
"Malik James",868-60-02,"LOS COBANOS RESTAURANT",312938-5286
"Malik Olson",651-63-05,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Malik Rich",124-86-00,"L'Ours Bar",402911-2895
"Malik Rich",124-86-00,"CHOICE ",075626-4206
"Malik Tillman",434-51-05,"The Backbeat",845635-3971
"Malik Tillman",434-51-05,"EL MARIACHI",107629-9856
"Malik Tillman",434-51-05,"DAD'S BEER ",987820-7241
"Malik Tillman",434-51-05,"MINERVA INDIAN CUISINE",636663-6196
"Mallory Cline",409-10-02,Combat,163829-1896
"Mallory Cline",409-10-02,"La Fine Mousse",234798-4284
"Mallory Cline",409-10-02,"Kings Stores",905752-1115
"Mallory Cline",409-10-02,"LOS COBANOS RESTAURANT",312938-5286
"Mallory Faulkner",762-13-03,Moonshiner,807305-7500
"Mallory Faulkner",762-13-03,"Aux Folies",178856-0090
"Mallory Faulkner",762-13-03,"Brass Monkey",704506-9023
"Mallory Figueroa",082-23-08,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Mallory Hughes",221-42-06,"Blue Tattoo",768883-3750
"Mallory Hughes",221-42-06,"SALA THAI ",339365-4516
"Mallory Leon",422-99-09,"HOWARD BAR & GRILL",564383-9375
"Mallory Leon",422-99-09,"LOS CHORROS RESTAURANT",637478-3600
"Mallory Leon",422-99-09,"DUCK DUCK GOOSE",844789-9843
"Mallory Leon",422-99-09,"SANTO POLLO ",348034-4278
"Mallory Mckay",519-72-04,"Long Bar",395573-9457
"Mannix Reilly",703-04-09,"ADDISU GEBEYA",659375-5835
"Mannix Ross",829-13-09,"The B-Hive",159927-7181
"Mannix Ross",829-13-09,"L’avant comptoir du marché",508969-5034
"Mannix Sandoval",190-58-01,"The Backbeat",845635-3971
"Mannix Sandoval",190-58-01,"La Mezcaleria",059219-3288
"Mannix Sandoval",190-58-01,"DAD'S BEER ",987820-7241
"Mannix Sandoval",190-58-01,"OUTTA THE WAY CAFE",993879-6407
"Mannix Sandoval",190-58-01,"MINERVA INDIAN CUISINE",636663-6196
"Mannix Wright",109-49-06,"John Donne Pub",575493-8545
"Mannix Wright",109-49-06,"IL PORTO",657698-5615
"Mara Alford",562-02-02,"JO'S BEER-WINE",422040-9934
"Mara Alford",562-02-02,"The Camel Pub",987575-5317
"Mara Alford",562-02-02,"The Duke Of Argyll",452548-3394
"Mara Alford",562-02-02,"CAVA RESTAURANT",727659-2461
"Mara Blackwell",575-88-09,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Mara Foley",715-11-07,"La Fine Mousse",234798-4284
"Mara Foley",715-11-07,"Connolly Station",638134-8991
"Mara Ross",395-90-03,BECLAWS,269500-5799
"Mara Ross",395-90-03,"TARA THAI RESTAURANT",033029-0636
"Mara Ross",395-90-03,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Marah Morrison",812-41-09,BECLAWS,269500-5799
"Marah Morrison",812-41-09,"EVA LOUNGE",243206-3382
"Marah Morrison",812-41-09,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Marah Salazar",798-18-06,"ARIA BAR & GRILL",705071-9785
"Marah Salazar",798-18-06,CUBANO'S,284560-8641
"Marah Shaffer",763-51-09,"Septime La Cave",207005-7456
"Marah Shaffer",763-51-09,"Bar Italiya",278532-0199
"Marcia Hodges",161-37-03,"Aux Folies",178856-0090
"Marcia Hodges",161-37-03,"SOUTHLAWN RESTAURANT",558375-0236
"Marcia Hodges",161-37-03,"BACCHUS OF LEBANON",397549-9173
"Marcia Levine",299-34-04,"The Rivoli Bar",726147-6027
"Marcia Levine",299-34-04,"St. James Tavern",454665-2704
"Marcia Levine",299-34-04,"Coconut Willie's Cocktail Loun",103228-2632
"Margaret Chavez",268-96-00,"SENOR TEQUILA'S",744864-1998
"Margaret Chavez",268-96-00,"THE QUARRY HOUSE TAVERN",906351-1597
"Margaret Jennings",690-61-03,"EL ANDARIEGO",822937-5764
"Margaret Jennings",690-61-03,N-EUROMART,913546-5087
"Margaret Jennings",690-61-03,"Ye Olde Mitre",379956-5316
"Margaret Walton",135-22-06,"LA PANETTERIA ",189702-8542
"Margaret Walton",135-22-06,"THE BARKING DOG",953633-2746
"Mari Webster",642-98-01,Porosello,775033-0743
"Mari Webster",642-98-01,"Satan's Whiskers",786366-9730
"Mari Webster",642-98-01,"Beaufort Bar",934943-7856
"Mari Webster",642-98-01,"MAMMA LENA",287813-8268
"Mariam Holland",585-55-08,"BARREL & CROW",938023-9690
"Mariam Hunt",679-47-05,"La Fontaine de Belleville",035952-6936
"Mariam Hunt",679-47-05,CANOPY,993738-4536
"Maris Cotton",276-54-00,"GOLF ULTRA LOUNGE",008054-3713
"Maris Gamble",779-50-09,"Belowzero Ice Bar",679007-3636
"Maris Kinney",834-75-07,"ARIA BAR & GRILL",705071-9785
"Maris Kinney",834-75-07,"THE QUARRY HOUSE TAVERN",906351-1597
"Maris Pitts",325-12-00,"The Rivoli Bar",726147-6027
"Maris Pitts",325-12-00,"Coconut Willie's Cocktail Loun",103228-2632
"Maris Porter",726-09-08,"ASPEN HILL BAR & GRILL",122581-2526
"Maris Porter",726-09-08,SAMOVAR,569005-3193
"Maris Porter",726-09-08,"Septime La Cave",207005-7456
"Maris Porter",726-09-08,"Purple Bar at Sanderson",016922-4284
"Mark Alston",181-36-09,"Ulysses Pub",603310-5963
"Mark Alston",181-36-09,"Kings Stores",905752-1115
"Mark Alston",181-36-09,"LOS COBANOS RESTAURANT",312938-5286
"Mark Briggs",681-74-07,"GOLF ULTRA LOUNGE",008054-3713
"Mark Briggs",681-74-07,"OLAZZO RESTAURANT",544976-6244
"Mark Clay",634-73-06,"Satan's Whiskers",786366-9730
"Mark Clay",634-73-06,"Beaufort Bar",934943-7856
"Mark Clay",634-73-06,"MAMMA LENA",287813-8268
"Mark Gardner",303-27-06,"Le Syndicat",555889-1650
"Mark Gardner",303-27-06,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Mark Gardner",303-27-06,"Bar Neon Monkey",829829-6701
"Mark Lowe",609-36-04,"PIZZERIA DAMARCO",443927-4046
"Mark Lowe",609-36-04,"BANGKOK GARDEN RESTAURANT",577007-7120
"Mark Stone",614-20-01,"EL PATIO",266006-4748
"Mark Stone",614-20-01,"TEX'S PLACE",137395-0748
"Mark Stone",614-20-01,"BENIHANA OF TOKYO",746233-3159
"Marny Anderson",554-59-05,"Little Red Door",837313-9248
"Marny Anderson",554-59-05,"B & B ",567607-2878
"Marny Hampton",721-35-05,"ASPEN HILL BAR & GRILL",122581-2526
"Marny Hampton",721-35-05,SAMOVAR,569005-3193
"Marny Hampton",721-35-05,"Purple Bar at Sanderson",016922-4284
"Marny Hampton",721-35-05,"Ninetyeight Bar & Lounge",023694-3510
"Marny Hardy",392-91-09,"Britannia Arms",033266-5462
"Marny Hardy",392-91-09,Anderdog,426308-0014
"Marny Hardy",392-91-09,"MAPLE BEER AND WINE",624171-7682
"Marny Hardy",392-91-09,"MIX BAR & GRILL",167553-1543
"Marny Hardy",392-91-09,"Hedley Club",627764-8355
"Marny Johnson",103-65-07,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Marny Johnson",103-65-07,SHANGRI'LA,392381-3350
"Marny Johnson",103-65-07,Eulipia,836692-8532
"Marny Norris",663-42-09,"Pivbar Kolomenskoye",365700-4523
"Marny Norris",663-42-09,"Mandy's Apothecary Irish Pub",036932-8331
"Marny Norris",663-42-09,"NEW VILLAGE RESTAURANT",034706-7472
"Marny Norris",663-42-09,"HUNAN NIGHT",619242-8172
"Marny Vaughn",735-98-09,Moonshiner,807305-7500
"Marny Vaughn",735-98-09,"Aux Folies",178856-0090
"Marny Vaughn",735-98-09,Artesian,023683-4925
"Marny Vaughn",735-98-09,"BACCHUS OF LEBANON",397549-9173
"Marny Vaughn",735-98-09,"Brass Monkey",704506-9023
"Marsden Gutierrez",220-28-04,"Ye Olde Mitre",379956-5316
"Marsden Gutierrez",220-28-04,"Gecko Grill",446219-2628
"Marsden Mendez",760-78-03,"KWIK BAR & GRILL",343655-3428
"Marsden Mendez",760-78-03,"WORLD OF BEER",749156-9476
"Marsden Mendez",760-78-03,"John Bull Pub",936645-6904
"Marsden Mendez",760-78-03,"Humble Grape - Battersea",289362-8384
"Marsden Short",589-31-01,"The Lounge",557061-3801
